longitude,latitude,intensity
55.0,34.0,35.04
55.0,34.1,26.87
55.0,34.2,31.97
55.0,34.3,48.39
55.0,34.4,41.75
55.0,34.5,39.32
55.0,34.6,29.03
55.0,34.7,37.21
55.0,34.8,26.65
55.0,35.1,26.00
55.0,35.4,26.36
55.0,35.5,38.36
55.0,35.6,37.53
55.0,35.7,38.42
55.0,35.8,37.90
55.0,35.9,46.69
55.0,36.3,34.94
55.0,36.6,44.21
55.0,36.8,38.59
55.0,37.0,35.97
55.1,34.1,35.20
55.1,34.3,39.73
55.1,34.5,33.14
55.1,34.6,41.28
55.1,34.7,28.01
55.1,34.8,30.10
55.1,34.9,46.85
55.1,35.0,35.31
55.1,35.2,47.20
55.1,35.3,32.83
55.1,35.4,44.80
55.1,35.6,49.72
55.1,35.7,48.58
55.1,35.8,46.08
55.1,35.9,43.68
55.1,36.1,38.15
55.1,36.3,30.78
55.1,36.4,27.83
55.1,36.5,33.51
55.1,36.6,38.25
55.1,36.7,39.59
55.1,36.8,40.76
55.1,36.9,39.47
55.1,37.0,31.22
55.2,34.0,45.58
55.2,34.2,34.34
55.2,34.3,42.28
55.2,34.5,39.88
55.2,34.6,29.48
55.2,34.7,30.58
55.2,34.8,44.47
55.2,34.9,28.52
55.2,35.0,32.14
55.2,35.2,25.19
55.2,35.3,30.98
55.2,35.4,37.02
55.2,35.5,49.32
55.2,35.6,48.88
55.2,35.7,27.06
55.2,35.8,34.94
55.2,35.9,25.85
55.2,36.0,36.68
55.2,36.1,46.83
55.2,36.2,26.37
55.2,36.3,32.76
55.2,36.4,39.64
55.2,36.5,43.48
55.2,36.6,39.65
55.2,36.7,45.65
55.2,36.9,35.84
55.3,34.0,31.15
55.3,34.1,44.30
55.3,34.2,48.01
55.3,34.3,45.89
55.3,34.5,38.68
55.3,34.6,38.24
55.3,34.7,34.93
55.3,34.8,32.94
55.3,34.9,42.71
55.3,35.0,38.05
55.3,35.2,37.24
55.3,35.3,26.49
55.3,35.4,37.10
55.3,35.5,47.14
55.3,35.6,38.81
55.3,35.8,43.50
55.3,36.0,34.29
55.3,36.1,37.05
55.3,36.2,31.23
55.3,36.3,44.73
55.3,36.4,37.68
55.3,36.5,25.06
55.3,36.6,41.58
55.3,36.7,49.82
55.3,36.8,41.40
55.3,37.0,29.53
55.4,34.0,28.00
55.4,34.1,49.06
55.4,34.2,43.59
55.4,34.3,34.74
55.4,34.4,37.13
55.4,34.5,40.73
55.4,34.6,36.76
55.4,34.7,48.00
55.4,34.8,35.35
55.4,35.0,25.95
55.4,35.2,43.04
55.4,35.3,44.79
55.4,35.4,27.97
55.4,35.6,27.66
55.4,35.8,34.23
55.4,35.9,28.52
55.4,36.0,42.49
55.4,36.1,42.43
55.4,36.3,44.67
55.4,36.4,31.08
55.4,36.5,30.79
55.4,36.6,41.71
55.4,36.7,42.30
55.4,36.8,32.38
55.4,36.9,26.67
55.4,37.0,47.04
55.5,34.0,28.68
55.5,34.1,44.91
55.5,34.2,35.86
55.5,34.3,42.62
55.5,34.4,46.07
55.5,34.5,31.67
55.5,34.6,32.48
55.5,34.7,41.85
55.5,34.8,39.95
55.5,34.9,36.98
55.5,35.0,36.62
55.5,35.1,33.53
55.5,35.2,47.90
55.5,35.3,42.69
55.5,35.5,30.26
55.5,35.7,41.18
55.5,35.8,32.08
55.5,35.9,43.30
55.5,36.2,35.97
55.5,36.3,47.05
55.5,36.4,35.49
55.5,36.5,25.41
55.5,36.6,30.12
55.5,36.8,29.03
55.5,37.0,33.57
55.6,34.0,38.65
55.6,34.1,26.14
55.6,34.2,40.48
55.6,34.3,33.36
55.6,34.4,27.34
55.6,34.5,30.21
55.6,34.6,34.30
55.6,34.7,37.46
55.6,34.8,34.34
55.6,34.9,33.38
55.6,35.0,25.93
55.6,35.1,45.38
55.6,35.2,39.01
55.6,35.3,28.56
55.6,35.4,48.14
55.6,35.5,32.15
55.6,35.6,44.47
55.6,35.7,32.29
55.6,35.8,30.40
55.6,36.0,31.41
55.6,36.1,29.17
55.6,36.2,41.30
55.6,36.3,46.57
55.6,36.4,49.62
55.6,36.5,42.38
55.6,36.7,40.46
55.6,36.8,32.00
55.6,37.0,43.70
55.7,34.0,45.54
55.7,34.1,30.37
55.7,34.2,45.11
55.7,34.4,36.38
55.7,34.6,41.00
55.7,34.7,41.83
55.7,34.8,47.63
55.7,35.0,25.10
55.7,35.1,34.99
55.7,35.2,42.37
55.7,35.3,44.63
55.7,35.4,29.88
55.7,35.5,48.91
55.7,35.6,47.58
55.7,35.7,35.48
55.7,35.8,41.53
55.7,35.9,48.08
55.7,36.0,32.75
55.7,36.1,33.75
55.7,36.4,37.33
55.7,36.6,30.53
55.7,36.7,29.00
55.7,36.8,28.71
55.7,36.9,34.24
55.7,37.0,33.62
55.8,34.1,37.05
55.8,34.2,32.65
55.8,34.4,29.48
55.8,34.5,48.25
55.8,34.6,36.64
55.8,34.7,44.36
55.8,34.8,29.29
55.8,34.9,30.01
55.8,35.0,35.78
55.8,35.1,48.73
55.8,35.2,41.35
55.8,35.3,37.12
55.8,35.4,44.92
55.8,35.5,46.04
55.8,35.6,39.85
55.8,35.7,30.83
55.8,35.8,38.26
55.8,35.9,44.79
55.8,36.1,30.89
55.8,36.3,49.10
55.8,36.4,35.45
55.8,36.5,33.17
55.8,36.6,49.70
55.8,36.7,39.55
55.8,36.8,46.19
55.8,37.0,25.85
55.9,34.0,30.24
55.9,34.1,30.52
55.9,34.2,47.71
55.9,34.3,25.70
55.9,34.4,49.00
55.9,34.5,33.21
55.9,34.7,48.95
55.9,34.8,28.41
55.9,34.9,26.04
55.9,35.0,33.51
55.9,35.1,48.26
55.9,35.2,33.01
55.9,35.3,37.60
55.9,35.4,47.09
55.9,35.5,28.31
55.9,35.6,47.97
55.9,35.7,30.34
55.9,35.8,46.12
55.9,35.9,26.63
55.9,36.0,27.17
55.9,36.1,36.25
55.9,36.2,33.55
