longitude,latitude,intensity
55.0,34.9,37.33
55.0,35.0,37.06
55.0,35.2,36.64
55.0,35.3,36.48
55.0,36.0,34.12
55.0,36.1,33.34
55.0,36.2,32.55
55.0,36.4,31.27
55.0,36.5,30.42
55.0,36.7,28.81
55.0,36.9,26.43
55.1,34.0,31.07
55.1,34.2,33.44
55.1,34.4,36.15
55.1,35.1,37.23
55.1,35.5,37.35
55.1,36.0,34.84
55.1,36.2,33.47
55.2,34.1,32.78
55.2,34.4,36.97
55.2,35.1,38.55
55.2,36.8,29.18
55.2,37.0,25.79
55.3,34.4,37.89
55.3,35.1,39.67
55.3,35.7,37.90
55.3,35.9,36.98
55.3,36.9,28.50
55.4,34.9,41.24
55.4,35.1,41.05
55.4,35.5,39.34
55.4,35.7,38.82
55.4,36.2,36.61
55.5,35.4,40.69
55.5,35.6,39.67
55.5,36.0,38.33
55.5,36.1,37.86
55.5,36.7,32.72
55.5,36.9,29.55
55.6,35.9,39.32
55.6,36.6,35.00
55.6,36.9,29.97
55.7,34.3,39.62
55.7,34.5,42.72
55.7,34.9,45.05
55.7,36.2,39.98
55.7,36.3,39.59
55.7,36.5,37.38
55.8,34.0,35.25
55.8,34.3,40.38
55.8,36.0,41.02
55.8,36.2,40.69
55.8,36.9,31.51
55.9,34.6,45.46
55.9,36.7,35.31
55.9,36.8,33.82
55.9,37.0,30.63
56.0,34.2,39.13
56.0,34.8,48.44
56.0,34.9,48.18
56.0,35.0,47.73
56.0,35.5,42.25
56.0,35.7,41.92
56.0,35.8,41.95
56.0,36.3,41.60
56.0,36.7,35.95
56.0,36.8,34.64
56.0,37.0,31.39
56.1,34.6,46.77
56.1,35.2,45.35
56.1,35.4,42.98
56.1,35.5,41.97
56.1,35.7,42.15
56.1,35.8,42.38
56.1,36.1,43.36
56.1,36.3,41.76
56.1,36.6,38.15
56.2,34.4,43.16
56.2,35.9,42.83
56.2,36.6,38.25
56.3,34.0,36.07
56.3,34.1,37.25
56.3,34.3,40.90
56.3,34.9,47.96
