A,B,C,D,E,F,target
-1.279,III,2,0.592,0.142,2.513,41.78
-1.922,II,5,0.213,2.711,-3.561,70.6
-0.147,II,4,0.455,2.087,0.128,36.01
0.9,II,2,0.359,0.699,-1.27,28.13
-0.319,I,5,0.569,0.241,0.302,55.61
-0.058,III,2,0.797,2.295,-1.431,42.54
-1.949,II,5,0.128,5.059,-0.133,88.33
-0.051,III,5,0.887,1.749,1.093,53.95
1.767,III,6,1.104,1.174,-0.397,65.29
1.403,III,6,0.552,1.524,0.855,75.17
0.92,II,0,0.354,1.413,0.271,35.74
-1.565,II,1,0.572,0.612,0.853,39.89
1.576,I,1,0.388,0.094,2.015,61.8
1.429,II,4,0.231,0.062,3.733,47.33
-1.34,III,4,0.143,1.416,0.335,59.9
0.529,II,2,0.374,0.538,-0.354,27.09
-1.918,II,2,0.341,0.799,-0.462,48.11
-1.533,II,3,0.188,1.93,-0.726,41.77
-0.735,III,0,0.956,2.422,-0.233,35.66
-1.368,II,6,0.372,0.475,0.567,32.06
1.036,III,5,0.805,0.005,2.629,48.78
1.273,II,1,0.363,0.073,2.529,48.47
-0.622,III,4,0.582,1.65,0.241,51.63
-0.725,II,1,0.145,3.047,1.098,36.86
-1.553,III,7,0.539,0.556,-0.773,57.08
-1.664,II,6,0.058,0.504,-0.018,35.28
0.851,II,3,0.029,0.476,1.607,38.64
0.398,II,2,0.25,1.441,0.261,33.03
-1.777,II,2,0.067,1.279,2.937,43.82
-0.081,III,6,0.114,0.053,0.229,30.93
-0.393,II,2,0.018,1.638,0.547,33.25
1.392,II,5,0.427,1.27,0.61,49.31
0.871,III,2,0.454,1.388,-0.258,36.61
0.408,II,4,0.028,0.381,0.758,26.42
0.21,III,2,0.376,0.671,1.216,39.69
1.796,I,4,0.65,0.199,1.055,69.33
1.947,II,5,0.06,5.333,-1.053,82.66
-0.648,II,5,0.501,1.403,-0.913,36.76
-1.041,II,2,0.104,0.4,-0.238,35.54
1.186,II,2,0.632,0.668,0.492,36.12
-1.745,III,5,0.232,0.434,-1.048,51.66
-0.542,I,3,0.53,0.972,0.254,56.2
-1.72,II,6,0.184,1.091,0.76,39.46
-0.723,III,3,0.381,0.286,1.513,33.89
-1.718,III,4,0.058,0.071,-1.021,41.78
-0.839,III,4,0.067,0.05,0.809,37.39
1.16,II,7,0.299,0.772,1.312,34.7
1.622,III,3,0.244,0.189,-0.183,40.99
1.17,II,1,0.03,0.219,1.048,42.86
0.247,II,6,0.976,0.233,0.788,19.43
0.464,III,1,0.258,0.413,0.525,33.07
-0.554,II,3,1.022,0.193,4.411,28.24
-1.325,II,4,0.452,3.73,-0.407,65.85
-0.255,III,3,0.585,0.494,1.009,36.75
0.931,II,1,0.388,0.029,-1.46,25.8
-1.748,III,6,0.824,1.172,0.128,70.32
-1.917,II,2,0.781,1.366,-0.09,54.31
1.082,III,3,0.327,0.305,0.864,44.86
-0.8,III,2,0.063,2.881,0.423,52.31
0.805,III,2,0.196,0.524,-1.742,30.1
0.939,III,2,0.181,1.979,0.047,40.72
1.732,III,7,0.199,0.099,2.592,65.86
-0.399,II,2,0.414,0.285,-0.65,28.2
-0.566,III,4,0.251,0.464,1.596,39.38
1.226,II,0,0.424,2.369,0.519,32.43
1.058,III,2,0.263,1.892,-0.717,39.77
0.61,III,3,0.167,0.638,-1.695,33.18
1.244,III,3,0.837,0.917,-0.217,44.23
0.569,I,4,0.979,0.944,0.452,62.46
1.83,II,2,0.042,1.354,1.585,56.71
-0.665,III,3,0.353,0.091,3.281,35.85
0.953,II,3,0.013,0.18,0.131,31.83
1.799,II,8,0.124,0.036,0.614,29.09
-0.663,II,3,0.199,0.569,3.528,32.05
0.447,I,2,0.079,1.702,0.768,60.83
-0.537,I,3,1.048,0.46,0.032,49.69
-0.154,II,3,0.197,1.408,0.314,33.0
-1.7,II,3,0.079,0.197,0.941,37.06
-1.923,III,5,0.088,0.187,1.081,48.88
1.039,II,4,0.083,0.179,-1.014,25.0
-0.189,II,3,1.097,1.906,0.085,35.22
0.491,II,5,0.307,2.232,0.444,41.13
0.96,II,3,0.211,2.7,0.376,45.73
-0.325,III,2,0.207,0.007,0.804,30.26
-0.53,III,2,0.054,1.155,2.415,38.73
-1.324,II,0,0.183,0.028,-0.583,40.78
1.175,II,4,0.401,0.215,0.343,30.62
1.332,III,2,0.25,0.467,1.376,48.74
0.937,III,5,0.099,1.459,-0.339,48.09
1.501,I,5,0.204,1.234,0.252,72.04
0.592,III,3,0.708,0.206,3.215,46.38
0.784,III,4,0.232,1.238,0.112,44.58
-1.228,II,3,0.413,2.403,1.803,46.59
1.071,II,2,0.297,0.026,2.142,42.68
-0.664,II,2,0.391,0.229,4.557,29.89
-0.248,II,6,0.063,0.297,1.449,19.91
-0.725,II,4,0.643,0.15,6.935,31.47
0.273,II,3,0.568,2.416,-0.187,39.63
0.635,III,2,0.326,4.925,2.496,68.82
0.302,III,2,0.436,0.226,1.377,38.12
-0.727,III,4,0.686,0.339,0.533,34.69
-1.128,II,5,0.06,1.885,1.43,41.1
1.38,II,4,0.829,3.008,1.4,59.39
-0.791,II,4,0.01,0.136,-1.102,21.94
-0.247,III,4,0.361,1.071,1.243,45.87
-1.634,II,1,0.653,0.078,-0.299,46.52
-0.796,II,3,0.436,0.885,0.542,30.29
-1.657,III,5,0.052,4.186,1.711,89.79
-0.625,III,2,1.217,0.233,0.957,31.07
0.837,II,2,0.077,1.233,2.566,44.12
1.896,II,2,0.838,0.092,1.128,44.77
0.501,II,4,0.929,0.2,0.349,21.53
-0.923,III,2,0.672,0.522,-0.797,36.98
0.627,II,3,0.456,1.361,-1.256,30.58
0.508,II,2,1.164,1.25,1.121,33.65
1.303,II,2,0.459,0.395,-0.237,36.97
0.135,II,2,0.015,0.674,-0.127,28.33
1.644,II,6,0.212,0.13,1.073,37.54
-0.338,II,3,0.381,1.185,-0.044,29.07
-0.856,III,5,0.239,0.448,0.754,35.93
0.076,III,3,0.372,1.541,0.034,39.97
1.69,II,4,0.423,0.903,0.749,49.29
0.896,II,2,0.735,0.114,0.609,35.62
-0.024,II,4,0.008,0.102,1.566,26.24
-0.01,III,1,0.298,0.039,0.319,30.0
0.595,III,1,0.233,3.085,0.233,37.08
-0.209,III,3,0.855,2.657,-0.122,51.47
0.203,II,4,0.493,0.276,-0.361,20.84
1.885,II,5,0.098,0.206,-0.16,37.96
1.73,III,10,0.181,0.642,-0.63,61.82
1.363,II,4,0.308,0.872,-0.708,32.21
-1.492,III,5,0.619,0.914,0.498,49.77
0.226,II,4,0.786,3.749,0.226,55.2
-0.534,III,5,0.005,0.515,-2.216,37.63
1.647,II,5,0.144,0.303,0.51,42.11
-0.745,II,1,0.032,0.596,0.647,34.68
1.723,II,2,0.581,2.636,0.74,48.66
-1.047,III,3,0.613,0.258,-0.952,36.28
-0.318,II,3,0.293,0.258,-0.378,22.14
1.84,III,2,0.136,0.495,2.229,67.45
0.382,II,2,0.345,0.018,-2.19,18.75
1.729,III,1,0.643,0.984,-0.499,43.32
0.155,III,3,0.006,1.145,0.809,40.78
-1.088,II,1,0.472,0.859,1.008,33.37
0.852,II,2,0.041,0.44,1.84,38.08
0.086,III,1,0.126,2.22,0.219,38.13
0.022,III,3,0.776,2.751,0.605,56.14
-1.454,III,4,0.734,1.843,-0.22,59.76
-1.42,III,2,0.715,0.269,0.009,43.02
1.718,II,1,0.806,2.674,1.599,57.19
1.824,II,6,0.257,1.341,0.47,49.6
1.864,III,2,0.087,0.478,1.284,52.24
-0.569,II,3,0.538,0.662,-0.895,30.47
-1.817,III,4,0.508,0.651,0.561,53.7
0.216,III,5,0.792,0.834,4.945,57.94
0.945,III,6,0.736,0.542,0.438,45.39
0.592,III,6,0.269,0.677,1.179,47.54
-1.788,III,3,0.036,0.425,-1.79,52.6
-1.068,II,2,0.444,0.639,-0.858,34.76
0.824,III,2,0.386,1.662,0.85,42.38
-1.78,II,5,0.038,0.014,-2.063,32.01
1.386,II,4,0.213,6.986,0.03,85.75
1.956,II,4,0.152,0.696,2.748,55.37
-1.009,II,2,0.229,0.4,-3.022,34.17
-1.784,III,3,0.336,0.227,-0.168,53.75
1.919,II,2,0.1,2.861,1.957,63.55
1.069,III,6,0.045,2.568,0.651,74.88
-0.183,II,4,0.147,0.32,0.477,22.65
-0.087,II,3,0.154,0.344,0.266,27.71
